2945,67849;7823,556691;28,7578415;;;;;;;;
;1000;2000;3000;4000;5000;6000;7000;8000;9000;10000
1000;0,00000e+00;2,16000e-76;2,16000e-76;1,77000e-30;1,77000e-30;8,82000e-20;8,82000e-20;2,49000e-15;2,49000e-15;2,49000e-15
2000;0,00000e+00;2,16000e-76;2,16000e-76;1,77000e-30;1,77000e-30;8,82000e-20;8,82000e-20;2,49000e-15;2,49000e-15;2,49000e-15
3000;0,00000e+00;2,16000e-76;2,16000e-76;1,77000e-30;1,77000e-30;8,82000e-20;8,82000e-20;2,49000e-15;2,49000e-15;2,49000e-15
4000;0,00000e+00;5,16000e-36;5,16000e-36;6,74000e-16;6,74000e-16;2,63000e-11;2,63000e-11;1,93000e-09;1,93000e-09;1,93000e-09
5000;0,00000e+00;5,16000e-36;5,16000e-36;6,74000e-16;6,74000e-16;2,63000e-11;2,63000e-11;1,93000e-09;1,93000e-09;1,93000e-09
6000;0,00000e+00;8,70000e-12;8,70000e-12;3,78000e-07;3,78000e-07;3,20000e-06;3,20000e-06;6,58000e-06;6,58000e-06;6,58000e-06
7000;0,00000e+00;8,70000e-12;8,70000e-12;3,78000e-07;3,78000e-07;3,20000e-06;3,20000e-06;6,58000e-06;6,58000e-06;6,58000e-06
8000;0,00000e+00;8,70000e-12;8,70000e-12;3,78000e-07;3,78000e-07;3,20000e-06;3,20000e-06;6,58000e-06;6,58000e-06;6,58000e-06
9000;0,00000e+00;8,70000e-12;8,70000e-12;3,78000e-07;3,78000e-07;3,20000e-06;3,20000e-06;6,58000e-06;6,58000e-06;6,58000e-06
10000;0,00000e+00;5,16000e-36;5,16000e-36;6,74000e-16;6,74000e-16;2,63000e-11;2,63000e-11;1,93000e-09;1,93000e-09;1,93000e-09
;;;;;;;;;;
;;;;;;;;;;
Dane1.csv versja poczˆtkowa;;;;;;;;;;
2945,67849;7823,556691;28,7578415;;;;;;;;
;1000;2000;3000;4000;5000;6000;7000;8000;9000;10000
1000;0;0;6,11694068368300e-311;1,22E-102;9,30E-58;5,88E-40;8,91E-31;2,74E-25;1,10E-21;3,70E-19
2000;0;0;2,76E-229;2,16E-76;1,68E-43;1,77E-30;8,89E-24;8,82E-20;3,67E-17;2,49E-15
3000;0;0;3,41E-160;3,48E-54;1,95E-31;1,85E-22;7,43E-18;4,04E-15;2,46E-13;4,32E-12
4000;0;0;1,16E-103;5,16E-36;1,44E-21;6,74E-16;5,21E-13;2,63E-11;3,33E-10;1,93E-09
5000;0;0;1,07E-59;7,00E-22;6,87E-14;8,55E-11;3,06E-09;2,43E-08;9,09E-08;0,000000222
6000;0;0;2,73E-28;8,70E-12;2,09E-08;0,000000378;0,0000015;0,0000032;0,00000499;0,00000658
7000;0;0;1,91E-09;0,00000992;0,0000408;0,0000581;0,000062;0,0000597;0,0000552;0,0000503
8000;0;0;2,73E-28;8,70E-12;2,09E-08;0,000000378;0,0000015;0,0000032;0,00000499;0,00000658
9000;0;0;1,07E-59;7,00E-22;6,87E-14;8,55E-11;3,06E-09;2,43E-08;9,09E-08;0,000000222
10000;0;0;1,16E-103;5,16E-36;1,44E-21;6,74E-16;5,21E-13;2,63E-11;3,33E-10;1,93E-09
